val_next_loss,val_presence_loss,val_event_loss,val_loss,epoch,step,train_loss
,,,,48,203,0.4516884982585907
0.16275593638420105,0.064768947660923,0.15546704828739166,0.3829919397830963,48,220,
,,,,49,220,0.45198261737823486
0.1611376851797104,0.0659768283367157,0.17891012132167816,0.40602463483810425,49,237,
,,,,50,237,0.4436165988445282
0.1620078831911087,0.06591310352087021,0.1563432216644287,0.384264200925827,50,254,
,,,,51,254,0.4687487483024597
0.15041440725326538,0.06568106263875961,0.18208390474319458,0.39817941188812256,51,271,
,,,,52,271,0.47022542357444763
0.15245407819747925,0.06463861465454102,0.14641781151294708,0.36351051926612854,52,288,
,,,,53,288,0.4487832486629486
0.15087606012821198,0.06428804993629456,0.22686195373535156,0.4420260488986969,53,305,
,,,,54,305,0.48136621713638306
0.14849522709846497,0.06529313325881958,0.16264614462852478,0.3764345049858093,54,322,
